title,tv,year,rating,score_imdb,score_rotten,available_on,show_or_movie
Star Wars: A New Hope,,1977,7+,8.6,92%,Disney Plus,Movie
Star Wars: The Empire Strikes Back,,1980,7+,8.7,94%,Disney Plus,Movie
The Lion King,,1994,all,8.5,93%,Disney Plus,Movie
The Avengers,,2012,13+,8.0,92%,Disney Plus,Movie
Avengers: Endgame,,2019,13+,8.4,94%,Disney Plus,Movie
Toy Story,,1995,all,8.3,100%,Disney Plus,Movie
WALL·E,,2008,all,8.4,95%,Disney Plus,Movie
Up,,2009,7+,8.2,98%,Disney Plus,Movie
Guardians of the Galaxy,,2014,13+,8.0,91%,Disney Plus,Movie
Iron Man,,2008,13+,7.9,94%,Disney Plus,Movie
Finding Nemo,,2003,all,8.1,99%,Disney Plus,Movie
Coco,,2017,7+,8.4,97%,Disney Plus,Movie
Inside Out,,2015,7+,8.1,98%,Disney Plus,Movie
Toy Story 3,,2010,all,8.3,98%,Disney Plus,Movie
"Monsters, Inc.",,2001,all,8.0,96%,Disney Plus,Movie
Star Wars: Return of the Jedi,,1983,7+,8.3,82%,Disney Plus,Movie
Zootopia,,2016,7+,8.0,98%,Disney Plus,Movie
The Princess Bride,,1987,7+,8.1,97%,Disney Plus,Movie
Star Wars: The Force Awakens,,2015,13+,7.9,93%,Disney Plus,Movie
Thor: Ragnarok,,2017,13+,7.9,93%,Disney Plus,Movie
Captain America: Civil War,,2016,13+,7.8,91%,Disney Plus,Movie
Ratatouille,,2007,all,8.0,96%,Disney Plus,Movie
Captain America: The Winter Soldier,,2014,13+,7.7,90%,Disney Plus,Movie
Aladdin,,1992,all,8.0,95%,Disney Plus,Movie
Toy Story 2,,1999,all,7.9,100%,Disney Plus,Movie
The Simpsons,TV,1989,7+,8.7,85%,Disney Plus,TV
The Incredibles,,2004,7+,8.0,97%,Disney Plus,Movie
Beauty and the Beast,,1991,all,8.0,94%,Disney Plus,Movie
Avatar,,2009,13+,7.8,82%,Disney Plus,Movie
Pirates of the Caribbean: The Curse of the Black Pearl,,2003,13+,8.0,79%,Disney Plus,Movie
The Mandalorian,TV,2019,7+,8.7,93%,Disney Plus,TV
Big Hero 6,,2014,7+,7.8,89%,Disney Plus,Movie
Doctor Strange,,2016,13+,7.5,89%,Disney Plus,Movie
Guardians of the Galaxy Vol. 2,,2017,13+,7.6,85%,Disney Plus,Movie
Rogue One: A Star Wars Story,,2016,13+,7.8,84%,Disney Plus,Movie
Moana,,2016,7+,7.6,95%,Disney Plus,Movie
Black Panther,,2018,13+,7.3,97%,Disney Plus,Movie
Toy Story 4,,2019,all,7.8,97%,Disney Plus,Movie
Frozen,,2013,7+,7.4,90%,Disney Plus,Movie
The Nightmare Before Christmas,,1993,7+,8.0,95%,Disney Plus,Movie
Tangled,,2010,7+,7.7,89%,Disney Plus,Movie
Wreck-It Ralph,,2012,7+,7.7,87%,Disney Plus,Movie
Ant-Man,,2015,13+,7.3,83%,Disney Plus,Movie
The Little Mermaid,,1989,all,7.6,93%,Disney Plus,Movie
Onward,,2020,7+,7.5,88%,Disney Plus,Movie
Avengers: Age of Ultron,,2015,13+,7.3,75%,Disney Plus,Movie
Fantastic Mr. Fox,,2009,7+,7.9,92%,Disney Plus,Movie
Who Framed Roger Rabbit,,1988,7+,7.7,97%,Disney Plus,Movie
Finding Dory,,2016,7+,7.3,94%,Disney Plus,Movie
Mary Poppins,,1964,all,7.8,100%,Disney Plus,Movie
Gravity Falls,TV,2012,7+,8.9,100%,Disney Plus,TV
Mulan,,1998,all,7.6,86%,Disney Plus,Movie
Iron Man 3,,2013,13+,7.2,79%,Disney Plus,Movie
Free Solo,,2018,13+,8.2,97%,Disney Plus,Movie
Thor,,2011,13+,7.0,77%,Disney Plus,Movie
The Sound of Music,,1965,all,8.0,83%,Disney Plus,Movie
Captain America: The First Avenger,,2011,13+,6.9,80%,Disney Plus,Movie
Ice Age,,2002,7+,7.5,77%,Disney Plus,Movie
Star Wars: The Clone Wars,TV,2008,7+,8.2,93%,Disney Plus,TV
Snow White and the Seven Dwarfs,,1937,all,7.6,98%,Disney Plus,Movie
Frozen II,,2019,7+,6.9,77%,Disney Plus,Movie
Cars,,2006,all,7.1,75%,Disney Plus,Movie
Iron Man 2,,2010,13+,7.0,73%,Disney Plus,Movie
Monsters University,,2013,all,7.3,80%,Disney Plus,Movie
A Bug's Life,,1998,all,7.2,92%,Disney Plus,Movie
Remember the Titans,,2000,7+,7.8,73%,Disney Plus,Movie
Togo,,2019,7+,8.0,91%,Disney Plus,Movie
The Jungle Book,,1967,all,7.6,87%,Disney Plus,Movie
Brave,,2012,7+,7.1,78%,Disney Plus,Movie
Cinderella,,1950,all,7.3,97%,Disney Plus,Movie
The Simpsons Movie,,2007,13+,7.3,88%,Disney Plus,Movie
Fantasia,,1940,all,7.8,94%,Disney Plus,Movie
The Emperor's New Groove,,2000,all,7.3,85%,Disney Plus,Movie
